id,name,created_at,updated_at,country_id,sector_id,related_companies,industry_id,bhrrc_url,latest_statement_for_compliance_stats_id,company_number
NEW5612,Aviate Management Limited,,,1533,,,,,,6745115
NEW5614,AVL United Kingdom Limited,,,1533,,,,,,1067795
NEW5620,Axiom MS Limited,,,1533,,,,,,6658769
NEW5621,Axis Bank UK Limited,,,1533,,,,,,7554558
NEW5622,Axis Group Integrated Services Limited,,,1533,,,,,,9792798
NEW5623,Axis Security Services Limited,,,1533,,,,,,2933907
NEW5624,Axminster Tool Centre Ltd,,,1533,,,,,,3326979
NEW5625,Axon Solutions Limited,,,1533,,,,,,2976395
NEW5626,Azumi Limited,,,1533,,,,,,4163938
NEW5627,B & K Building Services Limited,,,1533,,,,,,1498712
NEW5631,B.B. Energy Trading Limited,,,1533,,,,,,4511776
NEW5632,B.H.C. Limited,,,1533,,,,,,NI029649
NEW5638,Badoo Trading Limited,,,1533,,,,,,7540255
NEW5640,Baird & CO. Limited,,,1533,,,,,,2269558
NEW5642,Bairds Malt Limited,,,1533,,,,,,3580592
NEW5643,Balkan Holidays Limited,,,1533,,,,,,886808
NEW5646,Balyasny Europe Asset Management LLP,,,1533,,,,,,OC308795
NEW5651,Banner Limited,,,1533,,,,,,7464584
NEW5652,Barchester Healthcare Homes Limited,,,1533,,,,,,2849519
NEW5654,Barclay & Mathieson Limited,,,1533,,,,,,SC030987
NEW5655,Barclay Pharmaceuticals Limited,,,1533,,,,,,2770716
NEW5657,Baringa Partners LLP,,,1533,,,,,,OC303471
NEW5658,Barker & Stonehouse Limited,,,1533,,,,,,937498
NEW5659,Barlow Motors Limited,,,1533,,,,,,5583716
NEW5661,Barnetts Motor Group Limited,,,1533,,,,,,SC041941
NEW5662,Barnfield Construction Limited,,,1533,,,,,,2365913
NEW5663,Barony Universal Products PLC,,,1533,,,,,,SC201867
NEW5669,Barwick Bathroom Distribution LLP,,,1533,,,,,,OC316484
NEW5671,Bauder Limited,,,1533,,,,,,1466215
NEW5672,Bauer Technologies Limited,,,1533,,,,,,2388475
NEW5674,Bawnbua Foods NI Ltd,,,1533,,,,,,NI017910
NEW5679,Baylis (Gloucester) Limited,,,1533,,,,,,2877066
NEW5681,BBC Children in Need Appeal,,,1533,,,70,,,CHASC039557
NEW5685,BCS Prime Brokerage Limited,,,1533,,,,,,8040031
NEW5689,Bechtle Direct Limited,,,1533,,,,,,3283032
NEW5695,Bell Microsystems Limited,,,1533,,,,,,3102360
NEW5696,Bell Truck Sales Limited,,,1533,,,,,,1125690
NEW5697,Bells Motor Group Limited,,,1533,,,,,,2235225
NEW5706,Berkshire Hathaway International Insurance Limited,,,1533,,,,,,3230337
NEW5712,Besso Insurance Group Limited,,,1533,,,,,,2918893
NEW5714,Best At Travel PLC,,,1533,,,,,,2842995
NEW5715,Bet365 Group Limited,,,1533,,,,,,4241161
NEW5716,Betterbathrooms (UK) Limited,,,1533,,,,,,4986428
NEW5718,Beumer Group UK Limited,,,1533,,,,,,6970756
NEW5722,BFI,,,1533,,,70,,,CHA287780
NEW5731,BIC U.K. Limited,,,1533,,,,,,389090
NEW5732,Bidfresh Limited,,,1533,,,,,,4227047
NEW5734,Bield Housing & Care,,,1533,,,70,,,CHASC006878
NEW5736,BIG Bear Confectionery Limited,,,1533,,,,,,4849228
NEW5739,Bills Restaurants Ltd.,,,1533,,,,,,5158252
NEW5740,Binney & Smith (Europe) Limited,,,1533,,,,,,143803
NEW5742,Biomar Limited,,,1533,,,,,,SC119586
NEW5751,Blackwell UK Limited,,,1533,,,,,,796591
NEW5752,Blake Morgan Group LLP,,,1533,,,,,,OC392099
NEW5760,Blue Skies Holdings Limited,,,1533,,,,,,4049445
NEW5761,Blue SKY Intermodal (UK) Ltd.,,,1533,,,,,,4601781
NEW5763,BMG Rights Management (UK) Limited,,,1533,,,,,,6705101
NEW5764,BMI Healthcare Limited,,,1533,,,,,,2164270
NEW5768,BNK (UK) Limited,,,1533,,,,,,6527449
NEW5769,Boal U.K. Limited,,,1533,,,,,,2194180
NEW5776,Bonhams 1793 Limited,,,1533,,,,,,4326560
NEW5777,Bonmarche Holdings PLC,,,1533,,,,,,8638336
NEW5779,Boost Pay Limited,,,1533,,,,,,7123990
NEW5780,Boots Hearingcare Limited,,,1533,,,,,,823009
NEW5781,Borchard Lines Limited,,,1533,,,,,,517224
