MSR Company ID,Companies House Number
28189,3450319
28190,3457145
26202,3985643
26204,912182
26203,9957218
7879,1205298
7882,3857752
7893,8240307
29504,5309561
29501,2690805
29502,6990578
29503,3083611
29500,1443574
24880,6024942
24878,1164588
24879,3773253
29331,3976014
29119,1051137
29329,5645503
7932,5167070
7942,RS007104
24639,6382444
24638,4109761
24640,5656677
7955,478127
7960,5095978
7961,3188157
23030,3965427
26462,OC376281
26461,6894550
26463,8100614
7979,IP10008R
23473,NI022466
7994,SC135015
24661,4396961
23034,5534862
23035,4366411
25321,12397069
25275,5196402
24697,SC404681
24695,2456473
24696,2631783
24261,6455596
24262,NI032809
8025,5561925
23038,318227
23037,3291852
26752,2274227
26753,1235867
23042,2572572
8080,IP031322
23044,1990710
8101,662712
27032,36374
27035,464176
27034,425864
27036,5516177
27033,460473
23048,1360957
23049,8617391
23050,4960792
8109,IP031452
8114,IP29661R
29439,590091
29440,1129195
29441,8484484
29442,8484552
29443,9889233
29444,8484501
29445,8484502
29446,4134994
29447,4134898
29448,779549
29449,5023498
29450,5096461
29451,3968801
29165,1610781
29452,4297122
29453,981337
29456,559021
29459,1364
29460,1508129
29461,837412
29462,2225346
29471,2244299
29464,8764613
29465,9664420
29466,5592117
29472,4414158
29467,SC134205
29468,3390839
29469,9276831
29473,3898391
29474,3900276
29458,344046
29470,4344571
29457,932385
29454,1279315
29475,4414179
29164,2369965
29476,4401303
29478,4130317
29477,4666101
29479,7296112
29480,932386
29483,SC157533
29161,2244297
29481,8629353
29484,2162703
29159,2867478
29485,4414137
29486,SC048729
29167,3642633
29487,4414091
29482,11395485
29489,SC210712
29488,SC114859
29490,SZ000016
29491,1854686
29492,2575316
29493,96471
29494,1878525
29495,2334551
29496,2479238
23053,936467
23055,1884708
23056,6506121
23054,1884228
23057,3767075
8139,2538134
8141,IP19059R
25995,3261510
25994,6682392
25287,3261510
23730,2280926
23729,1893220
27198,2334190
27199,5606609
23732,1188240
23731,4191730
27665,5531656
27664,4494864
27666,8788911
8152,520866
22887,8092808
22886,4585692
23058,8735136
25163,97117
8167,IP27940R
23064,4271358
23063,3242420
23062,5259448
23066,4271510
23065,4271499
23067,4271349
27090,6254182
23061,4271351
27186,4271356
26179,4107553
26181,NI010328
26180,11180471
26178,2668795
8181,2143539
23068,4660974
25603,5614989
24009,2033501
25481,4432262
25476,2422874
25479,3277793
25477,6020283
25478,2829355
25480,1471066
27650,2170458
23069,6847930
24669,8462158
23301,4958135
23072,1506905
23071,1240968
8243,3866129
23082,2295227
23083,1822941
23091,1713578
23100,4659708
23081,144585
23096,2328402
23099,5340682
23093,SC026126
23085,3990677
23084,2818654
23101,232799
23092,1556310
23089,2280592
23090,2555509
23075,3795345
23076,3787587
23097,2328595
28301,2634683
23077,SC176671
23086,3142135
23080,123665
23078,SC190288
23079,1673542
28300,2032602
23074,SC183051
23087,2272113
23088,2065401
23095,131237
23098,5599788
23106,SC123321
8263,4521257
8265,IP20558R
8270,943228
24438,2594313
8276,2445665
27723,7063508
27724,7139044
8284,RC000639
23108,6398227
27874,5199936
27873,5199935
8307,2436644
23109,3830643
25131,6034603
23110,5819262
27837,2970609
8332,1957631
26549,8820005
25198,2338675
25199,3914810
23111,2932635
25181,131429
8353,2394161
23113,1633985
23112,SC215164
23114,560225
8361,2839815
26471,3938288
26488,2405490
26472,9655526
26466,7301961
25065,2830644
24575,2263856
23116,29140
8370,1105991
8372,1987495
8379,7623917
8387,3092244
8390,SC173542
23118,2461639
24881,3124253
23122,3124253
25168,4917671
25167,6484720
23126,883131
24674,2585759
23124,3377234
24675,7876913
24676,3709317
24677,6256563
24678,3765422
23125,2127283
8414,2158780
23128,7087850
23127,7557877
8419,IP12752R
29434,2844851
29430,3802001
29432,1471587
29431,6844137
8433,7741148
8439,RS007737
8450,AC000062
24387,3089948
24385,5188850
24389,2839202
24386,1651212
24388,3247652
23133,2471568
25284,2366923
25283,2366985
25282,2366894
25285,3600574
25322,7186923
26258,2997024
8477,5441967
25256,5834831
25204,3050297
24362,6037428
24361,5009019
8495,IP030443
24499,3797747
24500,2414212
23152,750847
23151,5391240
23179,1532141
23163,320535
29334,5034264
29342,11696852
29336,10780537
29338,11694985
29339,11696837
23143,4977339
23174,SC223219
23182,SC095569
25650,5391240
23195,7140891
8533,SC652204
25466,5360864
25472,49722
25468,10657088
25469,10659741
25470,6505376
25471,4087659
25464,9706728
25467,11536739
25473,3723386
25474,6427503
25465,6067505
24373,2009520
23201,OC355161
27635,6952311
23200,1855020
24663,2108635
8544,IP031192
28695,10886978
25549,2697807
8555,7447221
8559,IP23240R
8568,2814031
23206,7458632
24305,9237639
24306,9237645
24307,9237643
24308,8114550
24309,2433585
24310,242686
24312,8283222
24313,8283186
24314,7739397
24315,835139
24316,1047315
24317,FC031402
24318,4310159
24319,6944229
24320,2337959
24321,9416736
24322,6982415
24324,6990358
24323,8270754
24325,6876960
8574,291646
23209,1491158
23210,5540444
8579,2634737
8584,3458056
23212,1161045
24614,8993483
24615,1169587
23217,2709753
23218,728246
24616,2559027
24617,1952517
23214,8993483
23215,1169587
23216,413886
23219,2559027
23220,1952517
24568,4656315
24335,FC021720
24340,FC011713
29668,4976608
29664,4170018
29665,1673907
29666,813564
29667,3114981
24976,7274217
24975,7570982
24660,10868707
8621,5922379
28752,1182689
28754,1203345
28757,6252702
28755,4099208
28756,4100612
28751,4108747
28753,3702606
28571,224814
28570,301044
8635,RC000524
23224,2605138
25096,3045309
23225,1928053
28723,401589
24343,1392762
25623,3766242
25913,8871766
23227,2490566
23229,2502865
23228,305275
24831,3425262
24835,5139966
24828,8778032
24830,FC025276
24832,FC009816
8683,2835230
26635,2139881
23236,2452185
24445,995939
24448,3647343
27164,3820604
23239,7516498
23243,5441840
23242,84638
8746,RS007945
8761,IP20165R
23246,2964844
23247,2366942
8769,9325413
27780,IP29999R
27777,IP26715R
27779,5671209
8787,7665897
28703,8811254
24480,6608316
28696,6723244
28698,3141243
28697,1026007
28701,2877398
28702,8807923
28700,5782908
28704,6366483
28705,9920361
28715,4248952
28718,10553056
28716,4573558
28717,3294124
28699,1046906
28706,6993636
28708,4594558
28710,SC210361
28709,3115179
28712,2855151
28714,5735294
28711,5747539
28713,SC305856
28610,2838541
24384,3591572
8816,RS007536
23249,3758696
23248,5323396
23251,1456375
23252,3898563
8823,282555
23254,1692549
29581,9251181
29584,635030
29578,2912662
29579,3657463
23255,3163230
27781,9989436
23259,5086793
23257,5291852
23256,3016339
8848,5961514
8849,RC000706
27257,3484933
26744,948470
26745,3552625
23260,4913493
8873,8582168
25545,1073098
26762,4396810
26763,5913159
26764,6731549
28740,2059989
28739,633480
28741,3852763
28738,90776
28734,1967719
28736,2313262
28731,SC212640
28732,5739054
28727,SC210546
28735,FC032036
28730,992726
28728,2313235
28733,1508295
28729,15454
23271,SC273548
23270,SC063080
23268,3109235
23267,5159696
23266,2575585
23265,2331383
23264,SC296737
8908,6046866
25088,1579754
25087,330538
25086,297905
25091,66558
25090,2105370
25085,8197397
25089,453791
23272,210138
24300,1777819
24539,3253948
24541,3280551
24542,3286484
24543,SE000031
24544,1555746
24545,2464270
24538,SC002116
24550,2180206
24549,21487
24546,3884917
24547,1151805
24548,1059606
24551,1973412
24552,2403518
24553,3253947
24554,2403746
24560,475201
24557,6986155
24562,4096141
24563,SC119505
24564,110410
24565,2338540
24566,3078842
24302,3001989
24303,2568507
24301,AC001348
28744,2826955
28745,1982084
28746,151537
28747,678540
28743,2746621
27829,2159897
24342,2670518
23755,9248887
23754,9248888
24686,4421171
24685,93994
26392,1991017
26393,3145133
24607,1083848
25147,892832
25148,9095920
25146,6163437
29605,4894635
29608,142215
29600,5935420
29611,3879279
29633,7162466
29637,8293930
25300,2720809
25301,6953114
8984,12261598
23275,5510758
23277,11864098
23274,1204488
17302,1840419
25104,3610221
23285,1960990
23286,2079932
23287,2006738
24827,2779134
23292,3829851
23293,2993390
23294,631336
23295,1416977
24824,505769
23296,5105798
23297,4779288
24826,479564
24819,1960990
24822,2079932
24821,2006738
24820,2741070
24818,10257786
23288,2741070
23289,1587972
23290,2779134
29276,SC172880
29221,4386277
29222,3845645
29224,4342156
29226,5676743
29227,2615887
29277,SC109608
29278,SC075047
29228,4842802
29279,SC204847
29280,SC242176
29281,SC179707
29229,10183629
29230,4597286
29231,10214132
29282,SC094733
29283,SC147345
29284,SC109198
27463,2135540
27786,2798041
9052,RC000070
24942,563161
27858,5296120
27852,SC259438
23305,5152337
27853,3103451
27854,3016939
27857,3575588
27855,2690210
27856,2685714
25298,1594460
23306,7867411
23307,8188916
24579,539916
28080,4252526
25360,7981676
25377,4007730
25379,9070246
25381,8118341
25382,3522659
25387,3970268
25390,427272
25400,2324094
25367,3902874
25368,4687478
25371,242246
25366,3651678
25407,9868351
25397,10131554
25369,1653016
24795,5129372
24792,1188567
24793,2597050
24796,7322946
9086,5078352
29506,6533110
23310,6579070
23309,6182896
29507,9053086
25408,1786117
27059,1029071
25409,6249930
25410,961843
23311,3477402
25618,7042490
25619,2821207
27788,3337119
23313,2690018
23312,476611
27978,5039068
27979,8597513
27977,OC386939
27980,9615785
27865,5068968
23314,6299508
26412,1947851
26413,5972297
9106,1606776
9112,2280277
24265,SC218813
26344,2065
23320,9914960
23319,6338801
27790,10404374
26012,3148346
25049,9780352
25050,OC368517
25130,232767
24791,1017013
24524,227323
28378,7807959
28379,7807985
28380,9810024
28381,9810040
28377,3200519
28382,6872527
26200,9210818
23330,3430157
26199,5429739
26201,4617367
24846,4080051
24847,2686904
24848,3857130
25145,1584718
26172,178909
26171,1981158
9205,11000864
27803,4839811
23338,1488467
23335,FC036144
23339,2376399
23336,6827629
26815,10694659
25857,2154127
23344,5486832
23343,6328310
23340,5240304
23342,6120521
26977,784278
9259,SC051980
9262,10820498
9266,RC000036
9273,RC000904
9276,SC221180
9281,2761635
9284,CS003138
29073,1396513
24591,7224571
24592,7443319
24589,6222064
24588,2403767
23347,2954685
23348,2943795
27806,SC394519
27808,SC170062
27807,3965289
27805,SC144517
28249,8445563
28250,5731193
23350,3971335
23349,849037
26030,3933527
9319,1985032
26007,559693
27729,9541313
25863,798365
25867,6544291
25865,9541313
25555,4768800
23352,3328661
9351,155302
29138,158447
29139,67842
25354,6279672
23355,3720778
25353,2275771
23354,6279672
23353,2275771
24513,5799376
25446,1009248
25447,2312079
23357,562707
23356,SC204768
23358,SC123684
28151,9519213
28150,9341390
28149,3143108
28152,9351311
23361,4625200
23362,3797518
23364,2599297
23363,1268689
26297,2449259
26296,3468788
9391,7720641
24641,1918744
24642,9193729
26589,6560339
26595,3981392
26593,471941
26594,6560378
23370,2387333
23369,4415196
23371,2717800
23373,4727097
23372,2544711
9409,IP28038R
24868,5190234
23510,2158783
23641,2997052
9470,6186455
23375,3115135
23376,2641728
23378,3153567
23379,OC397281
23380,1378853
23381,1035198
26184,4201632
26185,7004741
26183,3663128
26182,1568060
9477,2286034
25875,4626269
25876,3757517
25877,6857769
25871,1721624
25873,7225175
25872,10837649
25874,2407981
26483,7397586
23382,381159
23383,3230332
28410,6897069
28423,6263309
28428,6967250
28413,2289304
28419,9765012
28405,5245828
28406,5245739
28429,7397446
28427,3267858
28431,9841297
28430,9839927
28411,638891
28417,9216699
28404,5245832
28415,9308423
28409,2421829
28420,773343
28403,8804262
28414,3023493
28408,6334391
28412,2152564
28418,9377862
28416,732602
28421,720588
28424,1707442
28425,2144404
28426,7047642
9492,3816947
23390,768173
23391,198032
23387,4720691
23385,2589171
23386,4638969
23388,NI028398
23389,9907830
23394,1093332
23397,7065104
21686,8774049
23398,7595632
21687,4806503
