status,suspicious,company_name,country_name,new_sector_name,old_sector_name,statement_url,date_seen,approved_by_board,approved_by,signed_by_director,signed_by,link_on_front_page,published,broken_url
merged,,Jordans & Ryvita Company (The),United Kingdom,"Food, Beverage & Tobacco",Agriculture/food/beverage,http://www.jordansdorsetryvita.com/modern-slavery-statement/,,Yes,Board,Yes,Director,Yes,,
merged,,Theo Paphitis Retail Group ,United Kingdom,Retailing,Apparel & textile,https://www.bouxavenue.com/customer-services/Ethical-Trading.html,03/08/2017,Not explicit,,Yes,Chief Executive Officer,No,,
merged,,Thesis Asset Management,United Kingdom,Diversified Financials,Finance,http://www.thesis-plc.com/wp-content/uploads/2016/09/Anti-slavery-and-human-trafficking-statement-11032016dwt-v3.pdf,,Yes,Board,Yes,CEO,Yes,,
merged,,Thomas Armstrong (Holdings) Ltd,United Kingdom,Materials,Construction & building materials,http://www.thomasarmstrong.co.uk/downloads/Thomas%20Armstrong%20Holdings%20Ltd%20-%20Modern%20Slavery%20Statement%20-%20July%202016.pdf,24/08/2016,Not explicit,,No,,Yes,,
merged,,Thomas Cook Group plc,United Kingdom,Consumer Services,Travel,https://www.thomascookgroup.com/wp-content/uploads/2016/11/Modern-Slavery-Act-Transparency-Statement-FY16.pdf,,Not explicit,,Yes,CEO,Yes,,
merged,,Thornton Tomasetti Inc,United States,Capital Goods,Professional services,https://www.thorntontomasetti.com/wp-content/uploads/2017/01/web_legal.pdf,02/02/2017,Not explicit,,Yes,President & Director,No,,
merged,,Thorntons Limited,United Kingdom,"Food, Beverage & Tobacco",Agriculture/food/beverage,https://www.thorntons.co.uk/on/demandware.static/-/Sites-Thorntons-Library/default/dw0ad3c70d/modern-slavery-act-compliance.pdf,02/03/2017,Not explicit,,Yes,Managing Director,Yes,,
merged,,Tibbetts Group Ltd (The),United Kingdom,Retailing,Construction & building materials,http://www.tibbettsgroup.co.uk/bfc/wp-content/uploads/2015/08/PS07-The-Modern-Slavery-act-2015.pdf,24/08/2016,Not explicit,,Yes,Managing Director,No,,
merged,,Bazelgette Tunnel Limited,United Kingdom,Capital Goods,Construction & building materials,https://www.tideway.london/media/2389/modern-slavery-statement-tideway-170516.pdf,22/08/2016,Not explicit,,Yes,Chief Executive Officer,No,,
merged,,Tiffany & Co.,United States,Retailing,Consumer products/retail,https://www.tiffany.co.uk/sustainability,24/08/2016,Not explicit,,No,,Yes,,
merged,,Tillicoultry Quarries,United Kingdom,Materials,Natural resources,https://www.tillicoultryquarries.com/uploads/20.12.16_Modern_Slavery_and_Human_Trafficking_Sig.pdf,12/01/2017,Not explicit,,Yes,Director,No,,
merged,,Timpson Ltd,United Kingdom,Consumer Services,Consumer products/retail,https://www.timpson.co.uk/human-rights,,Yes,Board,No,,Yes,,
merged,,T&K Gallagher Ltd,United Kingdom,Capital Goods,Utilities,http://www.gallagherltd.co.uk/media/1272/po008-modern-slavery-statement-16-17-issue-03.pdf,24/08/2016,Not explicit,,Yes,Managing Director,Yes,,
merged,,TLT Solicitors,United Kingdom,Commercial & Professional Services,Professional services,http://www.tltsolicitors.com/slavery-statement/,24/08/2016,Not explicit,,No,,Yes,,
merged,,TM Group,United Kingdom,Commercial & Professional Services,Services,https://www.tmgroup.co.uk/terms,05/09/2016,Not explicit,,No,,Yes,,
merged,,Torbay Council,United Kingdom,Public Entities,Public entities,https://www.torbay.gov.uk/council/policies/community-safety/modern-slavery/,,Not explicit,,Yes,Assistant Director,No,,
merged,,Toro Co (The),United States,Capital Goods,Consumer products/retail,https://www.toro.com/en-GB/about/corporate-responsibility/product-safety-sustainability/slavery-and-human-trafficking,24/08/2016,Not explicit,,No,,No,,
merged,,Total Foodservice Solutions Ltd,United Kingdom,Food & Staples Retailing,Services,http://www.totalfoodservice.co.uk/data/ckeditor/Pdfs/Slavery_and_Human_Trafficking_FY2016-2017.pdf,18/08/2016,Not explicit,,Yes,Managing Director,No,,
merged,,Tottenham Hotspur Football Club,United Kingdom,Media,Sports,http://www.tottenhamhotspur.com/the-club/tottenham-hotspur-football-club-anti-slavery-and-human-trafficking-statement/,,Not explicit,,No,,No,,
merged,,Toyota Financial Services (UK) PLC,United Kingdom,Diversified Financials,,http://www.toyota.co.uk/footer/modern-slavery-statement.json,21/04/2017,No,Managing Director on behalf of Board,Yes,Managing Director,Yes,TRUE,TRUE
merged,,Toyota (GB) PLC,United Kingdom,Sector unknown,,https://www.toyota.co.uk/footer/modern-slavery-statement.json,21/04/2017,No,Managing Director on behalf of Board,Yes,Managing Directors,Yes,FALSE,FALSE
merged,,Toyota Tsusho Metals Ltd,United Kingdom,Retailing,Metals/plastics/basic metals,https://media.wix.com/ugd/9e3b15_8f3babaf7efb4628b48a6e92e648165e.pdf,24/08/2016,Not explicit,,Yes,Senior Executive Officer,Yes,,
merged,,TRAC Intl. Ltd,United Kingdom,Capital Goods,Professional services,http://www.tracinternational.com/documents/TRACPOLC11.pdf,24/08/2016,Not explicit,,Yes,Managing Director,Yes,,
merged,,Trafford Housing Trust Ltd,United Kingdom,Real Estate,Real estate,http://www.traffordhousingtrust.co.uk/your-trust/modern-slavery-act-transparency-statement/,,Not explicit,,No,,No,,
merged,,Transline Group,United Kingdom,Media,Services,https://www.transline.co.uk/who-we-are/mds-statement/,24/08/2016,Not explicit,,Yes,CEOs,Yes,,
merged,,Transport for London (TfL),United Kingdom,Transportation,Transport,http://content.tfl.gov.uk/modern-slavery-statement-2016.pdf,06/12/2016,Not explicit,,No,,No,,
merged,,Travelex UK Limited,United Kingdom,Diversified Financials,Finance,http://www.travelex.co.uk/media/4687/modern-slavery-statement-2016.pdf,07/12/2016,Not explicit,,No,,Yes,,
merged,,Travers Smith LLP,United Kingdom,Commercial & Professional Services,Professional services,http://www.traverssmith.com/assets/pdf/CSR/Travers_Smith_-_Modern_Slavery_Act_Statement.pdf,09/01/2017,Yes,Board,Yes,Managing Partner,Yes,,
merged,,Treatt plc,United Kingdom,Materials,Agriculture/food/beverage,http://www.treatt.com/images/documents/Modern_Slavery_Statement.pdf,09/12/2016,Yes,Board,Yes,Chairman,Yes,,
merged,,Trifast plc,United Kingdom,Capital Goods,Manufacturing,http://trfastenings.blob.core.windows.net/sitecontent/d1b811191c6244b6b0140774db5bf3bb.pdf,24/08/2016,Yes,Board,Yes,CEO,No,,
merged,,Trimble Inc,United States,Technology Hardware & Equipment,Technology,https://www.trimble.com/Corporate/Compliance/UK-slavery-act.aspx,25/01/2017,Yes,Board of TEBV (TRIMBLE EUROPE B.V.),No,,No,,
merged,,Trinity College London,United Kingdom,Consumer Services,Charity/Nonprofit,http://www.trinitycollege.com/site/?id=3682,28/02/2017,Yes,Board of Directors,Yes,Chairman of the Board of Trustees,Yes,,
merged,,Trios Group Limited,United Kingdom,Commercial & Professional Services,Services,http://www.triosgroup.co.uk/_downloads/Trios_Slavery_and_Human_Trafficking_Statement.pdf,24/08/2016,Not explicit,,Yes,Group HR Director,No,,
merged,,Triumph Motorcycles Ltd,United Kingdom,Automobiles & Components,Transport,http://www.triumphmotorcycles.co.uk/modern-slavery-statement,26/01/2017,Yes,Board,Yes,CEO,Yes,,
merged,,"Total System Services, Inc.",United States,Software & Services,Services,http://investors.tsys.com/~/media/Files/T/TSys-IR/documents/modern-slavery-act-transparency-statement.pdf,02/03/2017,Yes,Board,No,,No,,
merged,,TUCO Ltd,United Kingdom,Commercial & Professional Services,Services,http://www.tuco.ac.uk/images/Buy/ModernSlave.pdf,14/12/2016,Not explicit,,Yes,COO,No,,
merged,,Turner & Townsend Limited,United Kingdom,Capital Goods,Professional services,http://www.turnerandtownsend.com/media/1924/modern-slavery-act-statement.pdf,,Not explicit,,Yes,CEO,No,,
merged,,Tutco Heating Solutions Group,United States,Capital Goods,Professional services,http://www.tutco.com/about/modern-slavery-human-trafficking-statement/,22/08/2016,Not explicit,,No,,Yes,,
merged,,TUV SUD (UK) Limited,United Kingdom,Diversified Financials,Services,http://www.tuv-sud.co.uk/uk-en/slavery-statement,,Not explicit,,Yes,CEO,Yes,,
merged,,TWI Ltd,United Kingdom,Commercial & Professional Services,Services,http://www.twi-global.com/about/modern-slavery-statement/?EntryId27=1280973,23/01/2017,Not explicit,,No,,No,,
merged,,Typhoo Tea Limited,United Kingdom,"Food, Beverage & Tobacco",,http://typhoo.co.uk/wp-content/themes/typhoo/assets/Typhoo_%20Slavery%20and%20Human%20Trafficking%20Statement%202016.pdf,12/12/2016,Not explicit,,Yes,CEO,Yes,TRUE,FALSE
merged,,UBM plc,United Kingdom,Media,Services,http://www.ubm.com/sites/default/files/ubm-plc-modern-slavery-and-human-trafficking-act.pdf,15/03/2017,Yes,Board,Yes,CEO,Yes,,
merged,,UCAS Media Ltd,United Kingdom,Media,,http://www.ucasmedia.com/modern-slavery-statement,21/04/2017,Yes,Board,Yes,CEO,Yes,TRUE,TRUE
merged,,UCAS,United Kingdom,Charity/Non-Profit,Services,https://www.ucas.com/corporate/about-us/slavery-and-human-trafficking-statement-financial-year-ending-31-july-2016,10/01/2017,Yes,Board,No,,Yes,,
merged,,University College London,United Kingdom,Consumer Services,,https://www.ucl.ac.uk/finance/policies-procedures/slavery-stmt,22/08/2016,Not explicit,,Yes,"Vice Provost, Operations",Yes,TRUE,FALSE
merged,,UK Asset Resolution Group,United Kingdom,Banks,,http://www.ukar.co.uk/~/media/Files/U/Ukar-V2/attachments/documents/modern-slavery-act.pdf,22/08/2016,Not explicit,,Yes,CEO,Yes,TRUE,FALSE
merged,,UK Electric Ltd ,United Kingdom,Utilities,Services,http://www.uk-electric.net/index.php?option=com_content&view=article&id=24&Itemid=27,07/09/2016,Not explicit,,Yes,CEO,Yes,,
merged,,UK Power Networks,United Kingdom,Utilities,Utilities,https://www.ukpowernetworks.co.uk/internet/asset/c89b0486-6272-41ff-8edc-0054e8efbe3e/Slavery%20and%20Human%20Trafficking%20Statement.pdf,25/08/2016,Not explicit,,Yes,Director,Yes,,
merged,,UK SBS Ltd,United Kingdom,Commercial & Professional Services,,http://www.uksbs.co.uk/use/Documents/UK%20SBS%20Slavery%20and%20Human%20Trafficking%20Statement.pdf,21/04/2017,Not explicit,,Yes,Exec Director,Yes,TRUE,FALSE
merged,,Ultima Business Solutions Limited,United Kingdom,Software & Services,Technology,http://www.ultima.com/resources/slavery-and-human-trafficking-statement-for-the-financial-year-2016,08/02/2017,Yes,Board,Yes,CEO,Yes,,
merged,,Ultra Electronics Holdings plc,United Kingdom,Capital Goods,Professional services,https://www.ultra-electronics.com/investors/anti-slavery-and-human-trafficking-policy.aspx,07/12/2016,Not explicit,,Yes,CEO,Yes,,
merged,,Unilever PLC,United Kingdom,Household & Personal Products,,http://www.unilever.com/Images/unilever-slavery-and-human-trafficking-statement-2017_tcm244-498073_en.pdf,09/02/2017,Yes,Board,Yes,CEO,Yes,TRUE,TRUE
merged,,Unison,United Kingdom,Charity/Non-Profit,Charity/Nonprofit,http://www.unison.org.uk/about/governance/our-statement-on-modern-slavery/,06/02/2017,Not explicit,,Yes,National Executive Council member,Yes,,
merged,,United Utilities,United Kingdom,Utilities,Utilities,http://corporate.unitedutilities.com/slavery-human-trafficking.aspx,25/08/2016,Not explicit,,Yes,Commerical Director,No,,
merged,,UnitedHealthcare Global,United Kingdom,Health Care Equipment & Services,Health,http://www.uhcglobal.com/global-medical/uk-modern-slavery-act-statement/,22/08/2016,Not explicit,,Yes,Director,Yes,,
merged,,UNIVEG UK Ltd,United Kingdom,"Food, Beverage & Tobacco",,http://www.univeguk.co.uk/wp-content/uploads/2016/03/Modern-Slavery-Document.pdf,24/08/2016,Not explicit,,Yes,Managing Directors,Yes,TRUE,FALSE
merged,,University of Cumbria,United Kingdom,Consumer Services,,http://www.cumbria.ac.uk/,28/02/2017,Not explicit,Board,Yes,Chair,Yes,TRUE,TRUE
merged,,Universities Superannuation Scheme Limited,United Kingdom,Diversified Financials,Finance,http://www.uss.co.uk/how-uss-is-run/your-trustee/overview,21/12/2016,Not explicit,,Yes,CEO,No,,
merged,,University Hospitals of Morecambe Bay NHS Foundation Trust,United Kingdom,Health Care Equipment & Services,Health,https://www.uhmb.nhs.uk/files/3514/6099/0066/Agenda_item_161i_-_Modern_Slavery_Act_2015_Statutory_Statement.pdf,15/09/2016,Not explicit,,No,,No,,
merged,,University of Bath,United Kingdom,Consumer Services,Services,http://www.bath.ac.uk/corporate-information/modern-slavery-and-human-trafficking-statement/,01/02/2017,Not explicit,,Yes,Secretary,Yes,,
merged,,University of Bristol,United Kingdom,Consumer Services,Services,http://www.bristol.ac.uk/media-library/sites/secretary/documents/policies-and-forms/modern-slavery-statement-2016.pdf,20/12/2017,Yes,Board of Trustees,Yes,Vice Chancellor and President,Yes,,
merged,,University of Central Lancashire,United Kingdom,Consumer Services,Services,https://www.uclan.ac.uk/corporate_information/modern-slavery-statement.php,30/01/2017,Not explicit,,No,,No,,
merged,,University of Edinburgh,United Kingdom,Consumer Services,Services,http://www.ed.ac.uk/files/atoms/files/uoe_-_final_modern_slavery_statement_-_december_2016_0.pdf,09/01/2017,Yes,University Court,Yes,Principal and Vice Chancellor,No,,
merged,,University of Essex,United Kingdom,Consumer Services,Services,https://www.essex.ac.uk/purchasing/docs/New_Folder/mshts.pdf,07/02/2017,Not explicit,,Yes,Vice-Chancellor,No,,
merged,,University of Gloucestershire,United Kingdom,Consumer Services,Services,http://www.glos.ac.uk/docs/download/Governance/slavery-and-human-trafficking-statement.pdf,07/09/2016,Yes,Council,Yes,Chair of Council,Yes,,
merged,,University of Huddersfield,United Kingdom,Consumer Services,,http://www.hud.ac.uk/media/universityofhuddersfield/content2013/central/SKM_C454e16092117200.pdf,18/10/2016,No,Senior Management Team,Yes,Vice Chancellor,No,,
merged,,University of Kent,United Kingdom,Consumer Services,Services,https://www.kent.ac.uk/governance/modern-slavery-statement.html,23/01/2017,Not explicit,,Yes,Chair of Council,No,,
merged,,University of Leicester,United Kingdom,Consumer Services,Services,https://www2.le.ac.uk/offices/purchasing/documents/procurement-policy-and-guidance/modern-slavery-and-human-trafficking-statement-2015-16,05/12/2016,Not explicit,,Yes,Chief Operating Officer,Yes,,
merged,,University of Manchester,United Kingdom,Consumer Services,Services,https://documents.manchester.ac.uk/display.aspx?DocID=30622,12/12/2016,Not explicit,,No,,Yes,,
merged,,University of Northampton,United Kingdom,Consumer Services,Services,https://www.northampton.ac.uk/wp-content/uploads/2017/01/Modern-Slavery-Statement.pdf,02/02/2017,Yes,Board of Governors,No,,No,,
merged,,University of Nottingham,United Kingdom,Consumer Services,Services,http://www.nottingham.ac.uk/fabs/procurement/documents/modern-slavery-act-2015-statement.pdf,07/02/2017,Yes,Council,Yes,Vice Chancellor,No,,
merged,,University of Oxford,United Kingdom,Consumer Services,Services,https://www.admin.ox.ac.uk/councilsec/compliance/modernslavery/,17/11/2016,Yes,Council,No,,No,,
merged,,University of St Andrews,United Kingdom,Consumer Services,,https://www.st-andrews.ac.uk/media/procurement/modern-slavery-act.pdf,04/11/2016,No,Office of the Principal,No,,No,,
merged,,University of Stirling,United Kingdom,Consumer Services,Services,http://www.stir.ac.uk/finance-office/procurement/modernslaveryhumantrafficking/,25/01/2017,Not explicit,,Yes,Principal and Vice-Chancellor,Yes,,
merged,,University of Strathclyde Glasgow,United Kingdom,Consumer Services,Services,http://www.strath.ac.uk/procurement/procurementguidance/procurementmanual/,25/08/2016,Not explicit,,No,,No,,
merged,,University of Suffolk,United Kingdom,Consumer Services,Services,http://www.uos.ac.uk/sites/default/files/Modern%20slavery%20and%20human%20trafficking%20statement%2012%20October%202016.pdf,21/11/2016,Yes,Board,Yes,Chair of Board,No,,
merged,,University of Surrey,United Kingdom,Consumer Services,Services,https://www.surrey.ac.uk/policies/modern_slavery_statement.pdf,20/12/2016,Yes,Board,No,,No,,
merged,,University of Sussex,United Kingdom,Consumer Services,Services,https://www.sussex.ac.uk/webteam/gateway/file.php?name=modern-slavery-act-statement.pdf&site=271,30/01/2017,No,Vice Chancellor,No,,No,,
merged,,University of the Arts London (UAL),United Kingdom,Consumer Services,Services,http://www.arts.ac.uk/about-ual/strategy-governance/public-information/slavery-and-human-trafficking-statement/,23/01/2017,Not explicit,,No,,Yes,,
merged,,University of the Highlands and Islands,United Kingdom,Consumer Services,Services,https://www.uhi.ac.uk/en/about-uhi/statement-on-compliance-with-modern-slavery-act-2015,24/08/2016,Not explicit,,Yes,Chief Operating Officer and Secretary,No,,
merged,,University of Warwick,United Kingdom,Consumer Services,Services,https://www2.warwick.ac.uk/services/finance/corporate_information/msa_policy_2016.pdf,12/12/2016,Not explicit,,No,,No,,
merged,,University of York,United Kingdom,Consumer Services,Services,https://www.york.ac.uk/media/abouttheuniversity/sustainability/University%20of%20York%20Slavery%20and%20Human%20Trafficking%20Statement%202015-16%20-%20Approved%20by%20University%20Executive%20Board%20and%20signed%20by%20Vice-Chancellor.pdf,12/11/2016,Not explicit,,Yes,Vice-Chancellor,No,,
merged,,Unum Limited,United Kingdom,Insurance,Finance,https://cdn2.hubspot.net/hubfs/234061/unum-modern-slavery-statement.pdf?t=1488538726136,06/03/2017,Not explicit,,No,,Yes,,
merged,,"Urban Outfitters, Inc",United States,Retailing,Apparel & textile,https://www.urbanoutfitters.com/uk/images/MSA_Statement/MSAFORM1.pdf,06/03/2017,Not explicit,,No,,Yes,,
merged,,Urbaser Ltd,United Kingdom,Commercial & Professional Services,Services,http://urbaser.co.uk/wp-content/uploads/2017/01/HO-HR-PL-024_Modern-Slavery-Human-Trafficking-Policy-Statement-website.pdf,14/02/2017,Not explicit,,Yes,Managing Director,No,,
merged,,Utilita Energy Ltd,United Kingdom,Utilities,,https://utilita.co.uk/downloads/Modern-Slavery-Statement.pdf,18/10/2016,Not explicit,,Yes,Director,Yes,TRUE,FALSE
merged,,Uttlesford District Council,United Kingdom,Public Entities,Public entities,http://www.uttlesford.gov.uk/CHttpHandler.ashx?id=6605&p=0,02/03/2017,No,Director of Finance and Corporate Services,Yes,Director of Finance and Corporate Services,No,,
merged,,Van Elle,United Kingdom,Commercial & Professional Services,Professional services,https://www.van-elle.co.uk/company/policies/Modern%20Slavery%20Statement.pdf,26/08/2016,Not explicit,,Yes,Director,No,,
merged,,Vanquis Bank Limited,United Kingdom,Banks,Finance,http://www.vanquis.co.uk/~/media/E7F31812385F4A71A747627C36A1AC7C,30/01/2017,Yes,Board,Yes,Managing Director,Yes,,
merged,,Vectura Group plc,United Kingdom,"Pharmaceuticals, Biotechnology & Life Sciences",Health,http://www.vectura.com/files/7614/7523/4958/Modern_Slavery_Act.pdf,01/10/2016,No,CEO,Yes,CEO,Yes,,
merged,,Veolia,United Kingdom,Sector unknown,Services,http://www.veolia.co.uk/sites/g/files/dvc636/f/assets/documents/2017/01/Veolia_UKI_Modern_Slavery_Statement_DEC_2016.pdf,26/01/2017,Not explicit,,No,,No,,
merged,,Versalfit UK Limited,United Kingdom,Sector unknown,Manufacturing,http://versalift.co.uk/wp-content/uploads/2016/04/Slavery-Human-Trafficking-Statement.pdf,15/09/2016,Not explicit,,Yes,Managing Director,No,,
