Modern Slavery Registry ID,Companies House Number
10089,04303731
22554,05346727
16636,09085601
22850,00944450
28288,03190720
9019,05199719
27217,08114844
25132,07410878
17134,00949665
9839,02248334
27867,06874019
7008,09439967
25507,03909628
18862,05763636
8828,04042711
17516,08114978
25140,01535640
22911,00947962
10215,06655110
7010,02937296
10595,08332997
28647,OC334944
8941,02468686
22692,02412510
22444,02468436
16936,00592235
21813,NI015099
24682,FC035602
8742,00032965
28340,03450573
17701,01235639
17140,01710361
24002,FC030280
23327,00078950
24117,03601496
17497,01431068
9133,02937724
7014,04407184
7015,01888801
18247,01991637
10483,SC240346
24123,04381177
17517,00934139
7016,09115901
22917,02792998
24749,04153656
26435,04635359
16642,03256076
18132,01357507
7018,02342138
21617,00976405
7019,00366786
17633,00752082
18101,01356186
8942,01470151
18553,10090890
10609,OC380135
8316,06755436
17852,03852238
22617,08802727
22918,00101073
7023,00395826
7024,03067227
28137,SC277480
22701,06932822
25272,02379469
8731,03311781
8853,00305189
21369,02907123
7027,07333101
18852,04126826
10183,00640370
10185,06193060
17437,FC002851
10169,05897786
23316,SC327000
18475,02267400
24370,03287770
18503,09618868
7030,00607575
21307,07406019
16702,06410772
18336,02792285
7031,00048839
21239,00939600
10084,00987562
7032,00800556
24924,08278065
23888,04295450
16703,02383478
23421,02915887
9694,03005774
7034,08406011
26539,01784638
26536,00137393
10857,01359667
25221,04948659
7036,OC307678
17899,07986991
25460,00785952
21938,03360908
7038,00604574
10691,02755663
7039,SC057208
27157,02860574
21651,00814563
17518,00543755
16961,01622226
25059,03828478
21285,09095649
7040,05073551
7041,07087004
9057,00667980
27141,11008136
10903,01176085
7043,00143720
7044,03879156
7045,00461365
9417,SC023572
17344,01389887
8326,09553573
21315,05492886
7046,00053688
7047,04463546
23958,OC355051
10725,09019615
27189,09816021
26840,02741673
10586,02478838
7048,OC404426
27809,OC320798
10598,OC305127
23384,03120968
25203,00641365
10887,OC310010
18403,01269127
26029,09682290
25525,06427672
16786,00321773
7053,03295160
8909,09763575
25251,04538873
10355,10355552
10489,02257171
26451,08155088
17407,00852702
17408,07677599
9583,06970038
7054,01569085
21412,02160382
8791,05120043
9077,00468710
27886,09055669
22645,02415578
18659,NI027630
7056,04416650
10277,10061567
25512,SC114142
21987,SC190648
23334,00670176
9171,01372603
17704,02442568
18252,00494648
10944,00886813
18070,04172275
21201,04115910
18820,00911656
17106,00992897
21469,02566980
7060,05172586
10588,06773428
28246,02190816
21680,10036286
17409,10373137
16842,04548803
17703,05490962
7061,01719714
18871,OC340981
25958,02995501
17824,09200786
26771,06849888
27901,06882734
21147,02600534
22633,01392861
16857,09225479
9852,01207120
7064,00500829
7065,OC309219
10347,01703444
26638,02585370
7066,00239718
18571,10657226
9701,02593690
28324,08812082
22746,05917314
27868,08604368
9390,03805401
9374,03530461
16963,00034121
16964,02218928
22688,04227047
7070,OC344553
9031,10336040
7071,03625199
17670,SC054207
27783,02129857
8522,05508774
22696,01061914
26482,07343036
9546,RC000707
7072,OC340318
23223,00343496
24204,02782836
17840,OC317545
7073,02078273
21294,00112155
23893,00690594
8741,00929686
28245,03284109
22921,04229385
7069,01445905
9503,02777575
26825,10980808
18308,03163649
16749,04357450
28643,01112362
17481,04632083
22708,SC224310
9859,01876267
24155,06755147
17637,07632025
7076,OC392078
24442,04782459
18412,03259020
22507,08934023
22508,09019569
18748,08045123
21474,01984336
9553,02162561
24354,00641659
9563,OC370085
23094,SC019039
25053,03196199
22689,08773116
8785,00931954
21449,09097152
27319,02738187
26642,09759493
26647,04260035
7077,SC343843
28505,07807506
26270,08035563
22682,01037515
24940,04090249
7079,01927903
9315,03102371
23696,01479949
10714,03121899
7080,01887373
18741,03950868
8912,01288537
18740,01378137
7081,04176965
18874,02138268
7082,04380953
10231,00337663
9456,00519057
8745,01284170
25964,02592524
17159,00711858
23281,08186759
9014,04355070
7083,10325017
9797,04554680
22047,01560396
9109,09862744
9110,02235994
18800,01273558
22358,00472968
9504,03558065
25440,05597459
10486,01520021
7085,01187672
10876,00745328
16967,01702024
17880,00068328
7086,OC359103
22373,02771869
7087,08098450
17917,02237800
22555,04468200
17102,01530086
8976,03460378
17705,00707875
9093,00306718
18785,00189717
18863,00701982
26406,05335775
7090,01245304
9145,00102498
21782,01815263
9653,01223575
10077,03899736
17351,06772181
26640,SC299361
26639,SC048793
7094,03719708
10100,02035315
23477,NI066355
10013,06973007
17519,08729615
17161,02340157
10599,02889789
18579,05699494
27221,02754921
17163,01352705
16968,07570780
7096,02704081
24073,00753976
17332,04347292
7097,05777067
10767,OC302636
23743,04457655
8526,02685806
17639,00782931
17385,07865033
7098,SC015274
16762,02454034
27267,01040790
26544,09668501
9480,09248803
7099,00416671
28147,04403402
16624,04342869
7613,03541311
9441,SC051566
18495,05895588
7101,08211695
9324,06088326
7102,06250176
24377,06073794
27058,05941335
10840,04322798
18993,08401611
21438,02024271
8760,SC296104
26948,01505901
22202,00959654
17706,07749331
18307,01318148
16803,02078692
22210,07582710
18469,10062541
7103,03393503
17521,02641767
24698,00251237
27557,07671099
9419,02662226
18384,04143955
23428,03234500
26784,00551102
17522,OC358808
22653,02966384
10363,01557088
17803,07467954
17889,02463833
7104,00760728
28153,03121594
7105,03407696
9829,01047302
21383,00430208
9428,RC000057
10167,08616013
17164,09299724
7107,07159707
17352,03078711
7109,00109030
8767,00008848
22594,01228157
17482,09438207
18013,00315158
9023,00432511
16969,08821629
8527,05604923
26279,00517211
21075,02366959
9770,00859081
18196,05418411
18145,06164695
7113,SO300334
10583,02906084
18128,IP29996R
17708,06815987
10718,01644146
9969,03128631
7114,00459637
25119,05234802
18151,01888853
9228,00029301
